Name,PWR,J,PhiTot,PhiInt,PhiInt_rescaled,S1,S2,m1,m2,mH2,mAzi,d1,d2,u1,u2,Nfentes,Chamber,Re1,Re2,S1p2,rtheta,Xst,Zst,rho1,rho2,MW1,MW2,u2/u1,DeltaU,ALPHA,r_utheta,Attaché (I/O),Groupe,Type,OH* (Y/N),NOx (Y/N),NO(ppmv dry),NOX(ppmv dry),EINOx,Note,Lf (m)
D10-PW10-PHI35-PRE2-S187-S20-20230308,10.006857661248356,1.7733650043514109,0.3488791599782134,2.0111231953175346,0.6678980117601777,0.8660254037844384,0.0,0.001500426927372082,0.006751375350952149,8.341828660593828e-05,,0.01,0.02,28.217343689797318,28.469302229165127,2,New,10805.64306958385,14616.893794104844,0.0781637559954184,0.0,0.47841541679618865,0.3437833606483553,0.6770314452406669,1.1794664292299075,16.554593159119758,28.840000000000003,1.0089292082960633,0.2519585393678092,0.6,0.0,1,A,I,Y,Y,,6.799999999999999,0.9842455389246613,,0.09402054488865351
D10-PW10-PHI35-PRE2-S187-S202-20230308,10.005572092249317,1.7658637774819965,0.3491519498072683,2.008649295862017,0.6676249367530598,0.8660254037844384,0.28153057421659144,0.0015019791661043604,0.006742381935119628,8.340756995873054e-05,,0.01,0.02,28.23255596362078,28.431378656544855,2,New,10816.145140178147,14597.422827488888,0.3089699500859083,0.6547456953692261,0.47858196887005483,0.34404565808169385,0.677366679841748,1.1794664292299073,16.56279022658652,28.84,1.0070423199791145,0.19882269292407528,0.6,0.2948762782453317,1,A,I,Y,Y,,9.7,1.4028136732516299,,0.09525472543452417
D10-PW10-PHI35-PRE2-S187-S204-20230308,10.006309151808768,1.75647436080591,0.3498703724071514,2.008276460845615,0.6675837433774607,0.8660254037844384,0.5662373980135545,0.0015023531854146085,0.00672585632801056,8.341371416979634e-05,,0.01,0.02,28.237478870204296,28.361693225228674,2,New,10818.736558288614,14561.644481383106,0.5419996296678627,1.3134215865485477,0.4786070958469996,0.3440852260764956,0.6774172349526324,1.179466429229907,16.564026386736376,28.839999999999996,1.0043989180335589,0.12421435502437816,0.6,0.5915225895301364,1,A,I,Y,Y,,11.05,1.5945095968693428,,0.08985518554634003
D10-PW10-PHI35-PRE2-S187-S206-20230308,10.008000389247501,1.7514521171063384,0.3503860689726122,2.0090174500806266,0.6676656029451723,0.8660254037844384,0.848878863066365,0.0015020836705544232,0.006715527052879333,8.342781251456737e-05,,0.01,0.02,28.2366009467468,28.31813658080694,2,New,10816.998402800733,14539.281346508391,0.7730423220233907,1.966062590502503,0.4785571641285262,0.34400659657625837,0.6773167678566426,1.1794664292299073,16.561569791977476,28.84,1.0028875867252547,0.0815356340601383,0.6,0.8854509828549876,1,A,I,Y,Y,,11.075,1.5955784916674212,,0.08275864740758375
LFNO10-PHI035-PRE2-20221124,10.069696273921439,1.7357566669360274,0.35011130281500136,1.9975902692877545,0.666398703570116,0.0,0.0,0.001519508925498851,0.006755183577537537,8.394211632145247e-05,0.0,0.01,0.02,28.498816039233734,28.485360816931436,4,Old,10939.323614694671,14625.138698387145,0.0,,0.47933023274294995,0.3452235541403005,0.6788699045811986,1.1794664292299073,16.599546678835917,28.84,0.9995278673231978,0.013455222302297898,0.6,,1,A,I,Y,Y,11.566666666666666,14.6,2.1052081279209807,,0.1329950296653891
LFNO10-PHI035-PRE6-20221124,10.062308537406956,9.543955657329,0.3495027397175433,5.953586712449212,0.856189324825752,0.0,0.0,0.0005651988573185643,0.007717674312591552,8.388053132216536e-05,0.0,0.01,0.02,18.188119979027608,32.54400638241013,4,Old,4501.121003723095,16708.954827808888,0.0,,0.3702635853564318,0.16405890487683217,0.3956613089241325,1.1794664292299073,9.67460528471533,28.84,1.789300181653521,14.355886403382524,0.6,,1,A,I,Y,Y,12.666666666666668,16.2,2.3403059537612263,,0.15009680406102588
LFNO10-PHI045-PRE2-20221124,10.062845619566554,0.9301767012718313,0.44917646137787887,1.9961769639264502,0.6662413428713125,0.0,0.0,0.0015194908658715048,0.0049443440914154054,8.388500849922102e-05,0.0,0.01,0.02,28.490392128548976,20.849385339483504,4,Old,10938.803104439285,10704.626644041704,0.0,,0.4794262999439862,0.34537471881474596,0.6790625589013285,1.1794664292299073,16.60425741112541,28.84,0.7318040848792406,7.641006789065472,0.6,,1,A,I,Y,Y,20.03333333333333,23.5,2.5818883039054144,,0.16503074789946928
LFNO10-PHI045-PRE6-20221124,10.064165470405571,5.571467181904315,0.4507946850453592,5.986805189356927,0.8568730667453974,0.0,0.0,0.0005626320181372803,0.005879145545959473,8.389601092368765e-05,0.0,0.01,0.02,18.162641364027856,24.79127032591445,4,Old,4484.191727104467,12728.494799693626,0.0,,0.36989377549921154,0.16341037797960195,0.39441693543833267,1.1794664292299075,9.64417819459976,28.840000000000003,1.3649595248307314,6.628628961886594,0.6,,1,A,I,Y,Y,19.666666666666664,23.7,2.5898935707698927,,0.1563594256706957
LFNO10-PHI04-PRE2-20221124,10.067702213562928,1.2538574406694445,0.3995200422903509,1.9972947717113705,0.6663658144544027,0.0,0.0,0.0015194203719029785,0.005740882053375244,8.39254936108947e-05,0.0,0.01,0.02,28.49546484821887,24.208238728199294,4,Old,10938.604447976551,12429.150935421487,0.0,,0.4793503104132875,0.3452551481264255,0.6789101749656148,1.1794664292299073,16.600531359584586,28.84,0.8495470720391651,4.287226120019575,0.6,,1,A,I,Y,Y,15.7,18.6,2.3198140251074113,,0.1445567926370872
LFNO10-PHI04-PRE2-PW15-20221208,14.9701481709025,1.2414859003879406,0.40212934382993404,2.003697043702844,0.6670769436962797,0.0,0.0,0.002252478620046075,0.00847397208213806,0.00012479283236831027,0.0,0.01,0.02,42.29764544380558,35.7331743159374,4,Old,16218.657553238416,18346.358112255315,0.0,,0.47891628714721374,0.34457203773133516,0.6780388890732353,1.1794664292299073,16.579226908255155,28.84,0.8448029184842123,6.564471127868181,0.6,,1,A,I,Y,Y,13.0,15.8,1.9601500233692548,,0.14916963944810804
LFNO10-PHI04-PRE2-PW65-20221208,6.493243318591804,1.2864097801456071,0.396258441145104,2.002497658893272,0.6669439534655283,0.0,0.0,0.0009775565577812275,0.0037431291341781616,5.4128403789528216e-05,0.0,0.01,0.02,18.352405535064438,15.784083844291445,4,Old,7038.546039578933,8103.966698309203,0.0,,0.47899743963279695,0.34469978560600273,0.6782019197451615,1.1794664292299073,16.58321329096333,28.84,0.8600553106857893,2.5683216907729935,0.6,,1,A,I,Y,Y,18.466666666666665,22.0,2.777691561740178,,0.13294372869249815
LFNO10-PHI04-PRE6-20221124,10.066399503643899,7.169188050700609,0.39962307457324125,5.952995126606544,0.8561770888960688,0.0,0.0,0.0005654764974974513,0.006692036480903625,8.391463407505751e-05,0.0,0.01,0.02,18.196031156660954,28.21908117974439,4,Old,4503.269162136093,14488.423680050353,0.0,,0.37027020472572914,0.1640705108836685,0.39568355980118575,1.179466429229907,9.67514935725382,28.839999999999996,1.5508371543656285,10.023050023083435,0.6,,1,A,I,Y,Y,16.0,19.5,2.439907425481249,,0.1520237645563089
LFNO6-PHI035-PRE2-20221123,10.022084511836985,0.13099628559997584,0.3511323593356435,2.0082749609968116,0.667583577643234,0.0,0.0,0.0015047227687006032,0.006707139911651612,8.354521933842102e-05,0.0,0.006,0.02,78.56113300176534,21.548776804691887,4,Old,18059.666626665257,16595.56911923767,0.0,,0.4786071969422979,0.34408538527151217,0.6774174383441756,1.1794664292299075,16.564031360012393,28.840000000000003,0.2742931011981162,57.01235619707346,0.4,,1,A,I,Y,Y,12.866666666666667,16.3,2.342958276318333,,0.1806873019236438
LFNO6-PHI035-PRE6-20221124,10.006834806688374,0.7181364157625648,0.35042370539306866,5.980828369362271,0.8567505248533486,0.0,0.0,0.0005599026665910005,0.007655877461433411,8.341809608776571e-05,0.0,0.006,0.02,50.17864641651265,24.59689179495216,4,Old,7436.350195437742,18943.04357046659,0.0,,0.36996004223428264,0.16352660637783265,0.39464009937885836,1.179466429229907,9.649634940027404,28.839999999999996,0.49018643489868796,25.58175462156049,0.4,,1,A,I,Y,Y,15.466666666666667,20.0,2.876270021047211,,0.23319697542010603
LFNO6-PHI035-PREINF-20221124,10.01173139616472,7.5720141889301305,0.3511622497797198,65535.0,0.9999847412109375,0.0,0.0,8.345891460624141e-05,0.008119229507446288,8.345891460624141e-05,0.0,0.006,0.02,35.90822721906347,26.085554615923513,4,Old,1990.618381427103,20089.521951331826,0.0,,0.29577464788732394,0.028301886792452827,0.08220275737698035,1.1794664292299073,2.01,28.84,0.7264506392026739,9.822672603139956,0.4,,1,A,I,Y,Y,15.733333333333334,20.3,2.9224401096667822,,0.1944168954525353
LFNO6-PHI045-PRE2-20221123,10.024004294875555,0.06973604107627406,0.45147380541608173,2.005537577831288,0.6672808194527476,0.0,0.0,0.0015069511607425728,0.004899594860076904,8.356122286491792e-05,0.0,0.006,0.02,78.63435974085249,15.741475124113519,4,Old,18085.160110267447,12123.135379271542,0.0,,0.47879189307802333,0.3443762007854632,0.6777888812661614,1.1794664292299073,16.573113783729248,28.84,0.2001857098600554,62.89288461673897,0.4,,1,A,I,Y,Y,19.366666666666667,22.8,2.494548540766546,,0.1869499235333136
LFNO6-PHI045-PRE6-20221123,9.936265639101068,0.42854754400101797,0.45084879812326273,6.091431371702171,0.8589847454506258,0.0,0.0,0.0005473635913005709,0.005811795630455017,8.282982360037569e-05,0.0,0.006,0.02,49.567182314525645,18.672204326257972,4,Old,7288.730009009123,14380.20637150376,0.0,,0.3687526346682429,0.1614076442736564,0.39056137619098585,1.1794664292299073,9.5499030834666,28.84,0.37670497805936587,30.894977988267673,0.4,,1,A,I,Y,Y,25.933333333333337,32.1,3.512305437322929,,0.23560567603920982
LFNO6-PHI045-PREINF-20221123,9.942099265536708,4.662071394516573,0.4475319773981755,65535.0,0.9999847412109375,0.0,0.0,8.287845336392721e-05,0.006326557707786561,8.287845336392721e-05,0.0,0.006,0.02,35.65848356640256,20.32603789139162,4,Old,1976.7735234618615,15653.889304444754,0.0,,0.29577464788732394,0.028301886792452824,0.08220275737698035,1.1794664292299075,2.01,28.840000000000003,0.5700196940102866,15.332445675010938,0.4,,1,A,I,Y,Y,26.099999999999998,31.7,3.493255924492565,,0.21103692972435134
LFNO6-PHI04-PRE2-20221123,10.021970239037074,0.09418428715824544,0.4015213940548087,2.008313051196295,0.6675877865828036,0.0,0.0,0.0015046786575785517,0.005687036647796631,8.354426674755814e-05,0.0,0.006,0.02,78.55942898707625,18.271377221545915,4,Old,18059.154598590743,14071.513493879984,0.0,,0.47860462955808797,0.34408134240042404,0.6774122730502821,1.1794664292299073,16.563905059617404,28.84,0.2325803211292654,60.28805176553033,0.4,,1,A,I,Y,Y,16.433333333333334,20.3,2.51844326883497,,0.18454122291420982
LFNO6-PHI04-PRE225-PW10-20221205,10.01961621935883,0.1167509015836241,0.40278683162709744,2.252940249004508,0.6925858074687882,0.0,0.0,0.0013500528444789928,0.00581764669418335,8.352464337578218e-05,0.0,0.006,0.02,73.91492748933543,18.69100269158398,4,Old,16304.898382342793,14394.683739473367,0.0,,0.4634802868176783,0.3200897446779032,0.6459906481756249,1.1794664292299073,15.795591830069375,28.84,0.2528718261176776,55.22392479775145,0.4,,1,A,I,Y,Y,17.700000000000003,21.5,2.662537268954209,,0.20569335123965832
