PWR;J;S1;S2;m1;m2;mH2;mAzi;u1;u2;Re1;Re2;PhiTot;PhiInt;Xst;Zst;rho1;rho2;d1;d2;MW1;MW2;Image_Name
9.997732978;3.084327269;0.29;0.93;0.000558955;0.007591649;8.33422E-05;0.005102773;50.1;50.9;7425;22868;0.35;6.0;0.369898971;0.163419491;0.394434435;1.179466429;0.006;0.015;9.644606088;28.84;P6S29S093.png
9.988694;3.182359656;0.60;0.00;0.000553112;0.007655207;8.32669E-05;0;49.9;51.3;7359;23059;0.35;6.1;0.369153078;0.162110699;0.391917065;1.179466429;0.006;0.015;9.583052015;28.84;P6S6S0.png
10.08347186;3.086528059;-0.60;0.00;0.000568008;0.00769807;8.4057E-05;0;50.7;51.6;7536;23188;0.35;5.9;0.370487276;0.164451068;0.396412801;1.179466429;0.006;0.015;9.692980561;28.84;P6Sm6S0.png
9.991122297;3.198551422;0.60;0.68;0.000553081;0.007674993;8.32871E-05;0.003750672;49.9;51.5;7359;23119;0.35;6.1;0.369129915;0.162070039;0.391838726;1.179466429;0.006;0.015;9.581136513;28.84;P6S6S068.png
10.07936947;3.070076992;-0.60;0.74;0.000558515;0.007590657;8.40228E-05;0.004054257;50.4;50.9;7430;22865;0.36;6.0;0.369205976;0.16220355;0.392095928;1.179466429;0.006;0.015;9.587425543;28.84;P6Sm6S075.png
9.986431398;3.205450494;0.60;0.75;0.000552996;0.007681271;8.3248E-05;0.004150683;49.9;51.5;7357;23138;0.35;6.1;0.369154311;0.162112862;0.391921232;1.179466429;0.006;0.015;9.583153924;28.84;P6S6S075.png
10.01150856;3.124752874;0.87;0.00;0.000558287;0.007638645;8.34571E-05;0;50.1;51.2;7419;23009;0.35;6.0;0.369698611;0.163068024;0.393759223;1.179466429;0.006;0.015;9.628095981;28.84;P6S87S0.png
10.07555275;3.187524699;0.87;0.00;0.000560387;0.007750777;8.39909E-05;0;50.4;52.0;7450;23347;0.35;6.0;0.369494809;0.162710446;0.39307166;1.179466429;0.006;0.015;9.611283879;28.84;P6S87S0.png
10.04137376;3.168380808;-0.87;0.00;0.00055611;0.007679403;8.3706E-05;0;50.2;51.5;7399;23132;0.35;6.1;0.369164316;0.162130424;0.391955066;1.179466429;0.006;0.015;9.583981224;28.84;P6Sm87S0.png
10.01189138;3.211372398;0.87;0.70;0.000558087;0.00774204;8.34602E-05;0.003875122;50.1;51.9;7417;23321;0.35;6.0;0.36966773;0.163013847;0.393655089;1.179466429;0.006;0.015;9.625549716;28.84;P6S87S069.png
10.04313928;3.231601215;-0.87;0.77;0.000555885;0.007754008;8.37207E-05;0.004298832;50.2;52.0;7396;23357;0.35;6.1;0.369119442;0.162051655;0.391803303;1.179466429;0.006;0.015;9.580270351;28.84;P6Sm87S077.png
